dynamic_family_id,structural_mode_id,dynamic_structural_submode_id,n,fraction_within_dynamic,fraction_within_structural,approx_medoid_real_row,median_H_abs,IQR_H_mean
D001,S035,D001-S035,260,0.0354803493449781,0.2143446001648804,51179,6.593828678131104,36.539588928222656
D001,S036,D001-S036,266,0.0362991266375545,0.2343612334801762,24214,8.159326553344727,35.631282806396484
D001,S037,D001-S037,221,0.0301582969432314,0.2280701754385964,61012,9.01220703125,35.92076110839844
D002,S000,D002-S000,57,0.0092352559948152,0.0326086956521739,1001,5.932329654693604,35.943260192871094
D002,S002,D002-S002,508,0.0823071937783538,0.0664052287581699,3831,2.8450591564178467,31.33020782470703
D002,S003,D002-S003,277,0.0448801036941024,0.1079080638878067,57912,4.72969913482666,40.06445693969727
D002,S004,D002-S004,315,0.0510369410239792,0.1317440401505646,47106,5.401951789855957,38.71062088012695
D002,S005,D002-S005,228,0.0369410239792611,0.1066916237716424,12869,5.635992050170898,39.4555549621582
D002,S006,D002-S006,274,0.0443940375891121,0.1121112929623567,31183,5.577465057373047,37.6219367980957
D002,S007,D002-S007,336,0.0544394037589112,0.1417721518987341,27623,4.427868366241455,39.26866149902344
D002,S008,D002-S008,132,0.0213869086195722,0.0893703452945159,47800,7.508967399597168,35.158817291259766
D002,S009,D002-S009,138,0.0223590408295528,0.0924932975871313,59259,5.764039516448975,34.08449935913086
D002,S010,D002-S010,160,0.0259235255994815,0.107095046854083,7822,4.996186256408691,36.01820755004883
D002,S011,D002-S011,141,0.022845106934543,0.0952702702702702,40059,5.859339714050293,32.8662223815918
D002,S012,D002-S012,167,0.0270576798444588,0.1233382570162481,48011,6.802258014678955,34.82346725463867
D002,S013,D002-S013,115,0.0186325340246273,0.0822603719599427,10878,6.140940189361572,34.14022445678711
D002,S014,D002-S014,146,0.0236552171095268,0.12106135986733,5652,5.569297790527344,36.731781005859375
D002,S015,D002-S015,117,0.0189565780946208,0.0826855123674911,47451,5.40606689453125,35.38772964477539
D002,S016,D002-S016,165,0.0267336357744653,0.1259541984732824,30037,5.889801502227783,35.39781188964844
D002,S017,D002-S017,159,0.0257615035644847,0.1340640809443507,24125,6.461285591125488,35.517539978027344
D002,S018,D002-S018,121,0.0196046662346079,0.095125786163522,40839,6.165375232696533,34.150814056396484
