source,metric,score_column,quantile,threshold,high_n,nonhigh_n,high_pass,nonhigh_pass,high_pass_rate,nonhigh_pass_rate,pass_rate_delta,enrichment_ratio,bath_threshold,deloc_threshold
bath_sensitivity_variants,bath_x_coupling_x_path,bath_x_coupling_x_path_score,0.95,0.16677984999999995,19194,96559,2069,2657,0.10779410232364281,0.027516854979856877,0.08027724734378594,3.917384541312994,,
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.5,,19194,96559,8272,17754,0.4309680108367198,0.18386685860458374,0.24710115223213608,2.3439134932061974,0.9980699,0.020019857
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.55,,19194,96559,7222,13649,0.3762634156507242,0.1413539908242629,0.2349094248264613,2.6618520881982763,0.998550731,0.026088521800000004
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.6,,19194,96559,6170,10189,0.3214546212358029,0.10552097681210451,0.21593364442369836,3.0463575200616244,0.99892724,0.03400828059999999
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.65,,19194,96559,5120,7357,0.26675002604980724,0.07619175840677721,0.19055826764303002,3.5010351726713793,0.9992323175,0.044442467950000016
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.7,,19194,96559,4060,5080,0.21152443471918309,0.05261032115079899,0.15891411356838409,4.0205881677263,0.999467451,0.059301175399999954
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.75,,19194,96559,3111,3260,0.1620819005939356,0.03376174152590644,0.12832015906802915,4.800756515168659,0.99964976,0.08089033400000001
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.8,,19194,96559,2184,1949,0.1137855579868709,0.020184550378525047,0.09360100760834586,5.637259976220763,0.99978542,0.111964244
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.85,,19194,96559,1342,1047,0.0699176826091487,0.010843111465528847,0.05907457114361985,6.4481198806655105,0.9998845,0.1599245085
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.9,,19194,96559,569,414,0.029644680629363342,0.004287534046541493,0.02535714658282185,6.914156320992017,0.99995005,0.23566657200000016
original_mechanistic_signature,strict_joint_original,bath_score+deloc_score,0.95,,19194,96559,137,99,0.007137647181410857,0.0010252798806947047,0.006112367300716152,6.961657315049,0.9999885,0.3497125014999999
