context,dynamic_family,metric,n_targets,model_abs_error_mean,model_abs_error_median
c25,D009,tau_transfer,32,2.469845812158314,1.4554065885489287
c25,D010,c_l1,19,0.03337742985445331,0.0154294110562591
c25,D010,eta,19,0.05766095711694532,0.0356737094072436
c25,D010,ipr,19,0.0637536236495491,0.0540252403618603
c25,D010,purity,19,0.06592579335756209,0.0529316885376164
c25,D010,tau_transfer,19,1.5405516967015815,0.8038420674413018
c25,D011,c_l1,22,0.05296229071826753,0.03988076960439675
c25,D011,eta,22,0.10885887643577587,0.06989389691008165
c25,D011,ipr,22,0.04910284398839788,0.02680138143845475
c25,D011,purity,22,0.050521874490424584,0.034087067513741645
c25,D011,tau_transfer,22,2.697950594910905,1.8432435274941774
c25,D012,c_l1,7,0.0379196512228423,0.0101206073890159
c25,D012,eta,7,0.2250664299896003,0.0527894946056755
c25,D012,ipr,7,0.06363601720698708,0.0142103323702851
c25,D012,purity,7,0.06406594103304745,0.0158304616462983
c25,D012,tau_transfer,7,5.54987045997306,2.245744018284768
c26,D000,c_l1,59,0.05171358234850772,0.0337922973155044
c26,D000,eta,59,0.07402947594173859,0.0363294294527469
c26,D000,ipr,59,0.020566774338821293,0.0164796305336155
c26,D000,purity,59,0.023171282465792736,0.016708724238595
c26,D000,tau_transfer,59,1.9590775100900184,1.3468698925306877
c26,D001,c_l1,50,0.04705503641140809,0.0285238693418658
c26,D001,eta,50,0.07647560962347233,0.0270602210445123
c26,D001,ipr,50,0.029843825564777503,0.0134372542895228
c26,D001,purity,50,0.03204687572600271,0.01550155543098285
c26,D001,tau_transfer,50,1.736997421005222,1.1900111072131665
c26,D002,c_l1,54,0.044013238477044934,0.0267280396593044
c26,D002,eta,54,0.06118524876860053,0.03199920080384985
c26,D002,ipr,54,0.03323053301420599,0.0209344381485004
c26,D002,purity,54,0.0338052905618838,0.02212344777002365
c26,D002,tau_transfer,54,1.8706578639172686,1.3786572692678973
c26,D003,c_l1,47,0.05312458429184898,0.0359400060748404
c26,D003,eta,47,0.06139052231744842,0.0422982095424595
c26,D003,ipr,47,0.028699814925681178,0.0109479363981611
c26,D003,purity,47,0.03128752101728073,0.0148021362430594
c26,D003,tau_transfer,47,1.4090019107018499,0.9365121093562648
c26,D004,c_l1,40,0.046443981980535745,0.03393210242606945
c26,D004,eta,40,0.09030685051619518,0.0556046455553349
c26,D004,ipr,40,0.033039708677202885,0.0189175969464836
c26,D004,purity,40,0.033894554219726813,0.01931633970587525
c26,D004,tau_transfer,40,2.545428534926331,1.2271141866274036
c26,D005,c_l1,28,0.06561693882460166,0.0258460250109761
c26,D005,eta,28,0.07037513323066251,0.044611175131460346
c26,D005,ipr,28,0.030718465275845312,0.01861731180957915
c26,D005,purity,28,0.03720499297286589,0.01902195559586105
c26,D005,tau_transfer,28,1.9854830194231705,1.6952994885469472
c26,D006,c_l1,38,0.062304279290566006,0.0241346144603801
c26,D006,eta,38,0.09217802905986879,0.0446423154819144
c26,D006,ipr,38,0.024407027105460676,0.014326772232792499
c26,D006,purity,38,0.029681941782118037,0.0134137590616048
c26,D006,tau_transfer,38,2.1048861507527348,1.6134114919720979
c26,D007,c_l1,31,0.03943236285745914,0.026007647982778
c26,D007,eta,31,0.06350651212364422,0.037917503536819
c26,D007,ipr,31,0.03434432151382638,0.0194243300915707
c26,D007,purity,31,0.03435713822256943,0.0182893486895281
c26,D007,tau_transfer,31,2.0900188821510888,1.27952576897561
c26,D008,c_l1,26,0.05416619489239351,0.04713873090832295
c26,D008,eta,26,0.08182732441062343,0.05082878707240905
c26,D008,ipr,26,0.023901704700671527,0.0177218040573605
c26,D008,purity,26,0.023943691340701227,0.015549381884459701
c26,D008,tau_transfer,26,1.7390073750612804,1.4364217437036917
c26,D009,c_l1,32,0.05059910168327594,0.027007024586275602
c26,D009,eta,32,0.07194364199127469,0.0504567987994175
c26,D009,ipr,32,0.023310462535651624,0.01867777736691155
c26,D009,purity,32,0.0264324980485393,0.02419710874911505
c26,D009,tau_transfer,32,1.6306393701248054,1.70196503926487
c26,D010,c_l1,19,0.043583943376221713,0.0277859722719557
c26,D010,eta,19,0.07275084676298826,0.0333359595504005
c26,D010,ipr,19,0.043672156038821436,0.0409335467812555
c26,D010,purity,19,0.04448632688948443,0.0411640762559247
c26,D010,tau_transfer,19,1.8989888337754828,1.587372641355742
c26,D011,c_l1,22,0.04971739992997559,0.042863192642679446
c26,D011,eta,22,0.08901917327953496,0.0630815903388559
c26,D011,ipr,22,0.041389401552313826,0.018673329307407248
c26,D011,purity,22,0.04427488400424445,0.0215713877269727
c26,D011,tau_transfer,22,2.5890829325194575,1.419770109930429
c26,D012,c_l1,7,0.0785987507486825,0.0416268208679633
c26,D012,eta,7,0.10544950827124179,0.0675617126841713
c26,D012,ipr,7,0.012853575891921529,0.0142290524123938
c26,D012,purity,7,0.01790615606039983,0.0198934146432282
c26,D012,tau_transfer,7,1.8843106891488648,1.6467864717181406
c33,D000,c_l1,59,0.05987999374998382,0.0350055656098915
c33,D000,eta,59,0.0703342761167425,0.0386577065643949
c33,D000,ipr,59,0.02305812263606721,0.016529948311996
c33,D000,purity,59,0.025156174533523725,0.0167937177196785
c33,D000,tau_transfer,59,1.9249956140564082,1.6497374765387465
c33,D001,c_l1,50,0.04693685580960322,0.0383976879500074
c33,D001,eta,50,0.08052969024927928,0.031221050053146952
c33,D001,ipr,50,0.03287137072458775,0.0206343692684528
c33,D001,purity,50,0.034195993505696146,0.023862250834933152
c33,D001,tau_transfer,50,1.9332924165574321,1.5048055095734654
c33,D002,c_l1,54,0.045813565676956276,0.032781139555606506
c33,D002,eta,54,0.0719943821821814,0.0529224557635781
c33,D002,ipr,54,0.03658247035631267,0.01993210500078925
c33,D002,purity,54,0.03876558904633003,0.02356609319581075
c33,D002,tau_transfer,54,1.8786905223857646,1.7755853525349377
c33,D003,c_l1,47,0.04573749379414607,0.0386382056587077
c33,D003,eta,47,0.08301883717973098,0.056891426491952
c33,D003,ipr,47,0.03251208645197866,0.0128888745753005
c33,D003,purity,47,0.03579560216899038,0.02290432167018
c33,D003,tau_transfer,47,1.859979593306248,1.4391238909481814
c33,D004,c_l1,40,0.050663504274183244,0.03532495226646755
c33,D004,eta,40,0.09877025840124265,0.0530353421729777
c33,D004,ipr,40,0.040111661345721715,0.017773974074071802
c33,D004,purity,40,0.039427238038143506,0.02219981980831525
c33,D004,tau_transfer,40,2.465735742930632,1.3064795229081234
c33,D005,c_l1,28,0.0647695230859212,0.02788466585752045
c33,D005,eta,28,0.06284456121666854,0.0326777464932773
c33,D005,ipr,28,0.03532751146331917,0.01707811890511275
c33,D005,purity,28,0.03989156974307489,0.01667820282759555
c33,D005,tau_transfer,28,1.8989265609489228,1.1226333004847486
c33,D006,c_l1,38,0.07179519290771337,0.036508084865715204
c33,D006,eta,38,0.08811812955022147,0.04196683846248325
c33,D006,ipr,38,0.026793536310960254,0.018671997655731097
c33,D006,purity,38,0.03189797401923693,0.02119503706256215
c33,D006,tau_transfer,38,2.04511537358445,1.2618208854790645
c33,D007,c_l1,31,0.051367848789183754,0.0431987974209991
c33,D007,eta,31,0.07487634993386426,0.0520569411855274
c33,D007,ipr,31,0.03640904276605898,0.0280994709047072
c33,D007,purity,31,0.03697785113198039,0.026413241737837
c33,D007,tau_transfer,31,1.8389148469160512,1.219035463362253
c33,D008,c_l1,26,0.05420552091774085,0.045889267866911346
c33,D008,eta,26,0.08770177848986785,0.0564430074683096
c33,D008,ipr,26,0.023328756386895917,0.017951400473613897
c33,D008,purity,26,0.025053727674446327,0.01990110178949775
c33,D008,tau_transfer,26,1.7098801287079177,1.146931233491891
c33,D009,c_l1,32,0.04928572125983161,0.031552650679939856
c33,D009,eta,32,0.052778799760563835,0.02390852821847615
c33,D009,ipr,32,0.02215932538564467,0.0152673547503974
c33,D009,purity,32,0.02609594450705631,0.014664339481961452
c33,D009,tau_transfer,32,1.4922116566552708,1.0809786206805612
c33,D010,c_l1,19,0.0391409435075254,0.0305161881899831
c33,D010,eta,19,0.10016177788889982,0.0567276207342256
c33,D010,ipr,19,0.0450095490669359,0.0330983298495916
c33,D010,purity,19,0.04590365647365576,0.0185895322405245
c33,D010,tau_transfer,19,2.44902429866229,1.5579040267536683
c33,D011,c_l1,22,0.04574287923704245,0.02531356208202255
c33,D011,eta,22,0.08980027993299594,0.07127082572915455
c33,D011,ipr,22,0.032988318057216276,0.0199413136158764
c33,D011,purity,22,0.03580357900002911,0.02768894833315215
c33,D011,tau_transfer,22,2.592043093663,1.7746662335562036
c33,D012,c_l1,7,0.07712062821638115,0.0267593525968919
c33,D012,eta,7,0.07138651244376142,0.0490106736853652
c33,D012,ipr,7,0.006549208753413557,0.0071927201040813
c33,D012,purity,7,0.0086980198797939,0.005738557261754
c33,D012,tau_transfer,7,2.058935323870507,2.584325166996237
