method,target_id,dataset_index,neighbor_index,neighbor_context_distance,eta,target_eta,abs_err_eta,tau_transfer,target_tau_transfer,abs_err_tau_transfer,ipr,target_ipr,abs_err_ipr,purity,target_purity,abs_err_purity,c_l1,target_c_l1,abs_err_c_l1
nearest_neighbor_baseline,576,27314,120647,0.09185690532496663,0.15701697766780853,0.17537346,0.018356482332191476,23.974027633666992,23.672255,0.30177263366699236,0.26861345767974854,0.27379435,0.0051808923202514845,0.3108065724372864,0.31168753,0.0008809575627136135,0.5309771299362183,0.5252819,0.005695229936218293
nearest_neighbor_baseline,577,69269,117814,0.04392781981108376,0.8448866009712219,0.8555595,0.010672899028778104,12.995205879211426,12.950553,0.044652879211426466,0.24103009700775146,0.2405056,0.000524497007751451,0.2503832280635834,0.25330868,0.0029254519364166343,0.3431409001350403,0.34123018,0.0019107201350402891
nearest_neighbor_baseline,578,108908,27440,0.0681159320364025,0.25417599081993103,0.25485057,0.0006745791800689682,27.833818435668945,27.649908,0.18391043566894538,0.4634527862071991,0.45685756,0.006595226207199101,0.46783965826034546,0.46346062,0.004379038260345469,0.2195247858762741,0.21556951,0.003955275876274117
nearest_neighbor_baseline,579,139818,26381,0.1473770669766188,0.8769197463989258,0.8427517,0.03416804639892579,12.128555297851562,12.5081,0.37954470214843816,0.2622198462486267,0.26804525,0.005825403751373304,0.290789932012558,0.2852381,0.005551832012557989,0.4285304844379425,0.436076,0.007545515562057514
nearest_neighbor_baseline,580,98508,43177,0.09510865563589038,0.6174828410148621,0.63105476,0.013571918985137987,25.21812629699707,24.87715,0.34097629699707,0.28603529930114746,0.29275542,0.0067201206988525275,0.29243072867393494,0.2964441,0.004013371326065052,0.2704935073852539,0.26472098,0.005772527385253912
nearest_neighbor_baseline,581,59867,94736,0.07022762596076275,0.7741087079048157,0.78773725,0.013628542095184382,20.236204147338867,19.940672,0.2955321473388679,0.38926422595977783,0.39074472,0.0014804940402221578,0.39196833968162537,0.39235625,0.0003879103183746513,0.17875337600708008,0.18346275,0.00470937399291993
nearest_neighbor_baseline,582,107960,11399,0.08254636567198764,0.9428691864013672,0.9533724,0.010503213598632821,10.047762870788574,9.861614,0.18614887078857478,0.22569036483764648,0.23027451,0.0045841451623535034,0.2503308355808258,0.25247434,0.0021435044191742136,0.573284924030304,0.56449246,0.008792464030303981
nearest_neighbor_baseline,583,113742,53424,0.11770506029780398,0.29782238602638245,0.26744822,0.030374166026382432,29.521682739257812,29.145437,0.37624573925781135,0.5318791270256042,0.534603,0.0027238729743958023,0.5327708125114441,0.5358465,0.0030756874885559116,0.1108507290482521,0.11039409,0.00045663904825210544
nearest_neighbor_baseline,584,40824,117498,0.05714300381334597,0.9461551904678345,0.95122933,0.005074139532165511,9.721957206726074,10.09479,0.3728327932739255,0.28879159688949585,0.29022178,0.0014301831105041352,0.2969464957714081,0.29607192,0.0008745757714080926,0.26254305243492126,0.26129594,0.0012471124349212603
nearest_neighbor_baseline,585,134630,23557,0.03876262397364389,0.41774511337280273,0.41190627,0.005838843372802716,22.960569381713867,22.834793,0.12577638171386596,0.3257157504558563,0.32805955,0.0023437995441436543,0.3277152478694916,0.33040127,0.0026860221305084475,0.16730301082134247,0.16550323,0.001799780821342467
nearest_neighbor_baseline,586,78969,109029,0.06250407286643558,0.9351271390914917,0.9363359,0.0012087609085082995,11.454097747802734,11.504751,0.05065325219726624,0.2768073081970215,0.27798116,0.0011738518029785205,0.28657856583595276,0.29334202,0.006763454164047222,0.35257387161254883,0.35795787,0.005383998387451183
nearest_neighbor_baseline,587,68142,63877,0.09316152791696522,0.8165246844291687,0.8009974,0.01552728442916873,13.839268684387207,13.38691,0.4523586843872067,0.34137338399887085,0.33836082,0.003012563998870843,0.34497952461242676,0.3412181,0.0037614246124267336,0.1863117516040802,0.18231064,0.004001111604080204
nearest_neighbor_baseline,588,111405,134340,0.18201092525360504,0.48399025201797485,0.47696835,0.007021902017974868,26.20220184326172,25.903982,0.2982198432617196,0.5667049884796143,0.5846743,0.017969311520385722,0.586656391620636,0.59656215,0.009905758379364027,0.3336871564388275,0.34771103,0.014023873561172462
