context,dynamic_family,metric,n_targets,model_mae,random_mae,delta_model_minus_random,reduction_vs_random,model_better_vs_random,nn_mae,delta_model_minus_nn,model_better_vs_nn
c5,D012,ipr,7,0.046759486738189006,0.21880687227657797,-0.17204738553838897,0.7862979062235134,0.8571428571428571,0.005462199036036843,0.041297287702152165,0.14285714285714285
c5,D012,purity,7,0.04769926217637165,0.20745586734543167,-0.15975660516906,0.7700751355614912,0.7142857142857143,0.007681235392793871,0.040018026783577784,0.0
c5,D012,c_l1,7,0.04531865252147503,0.22157207003694715,-0.17625341751547213,0.7954676665072536,1.0,0.0032204641514992855,0.042098188369975746,0.0
c12,D008,eta,26,0.10065381288832799,0.31723363544512434,-0.21657982255679636,0.6827139318089765,0.8076923076923077,0.04601230021122268,0.05464151267710531,0.34615384615384615
c12,D008,tau_transfer,26,3.023898378004345,8.096058256330865,-5.07215987832652,0.6264974531723817,0.8076923076923077,1.8779749469485945,1.1459234310557507,0.38461538461538464
c12,D008,ipr,26,0.03142672156574801,0.09671389000578816,-0.06528716844004015,0.6750547251913125,0.8076923076923077,0.02044590544011771,0.010980816125630299,0.4230769230769231
c12,D008,purity,26,0.032551840133168565,0.09266031936242654,-0.06010847922925797,0.6486970867664823,0.7692307692307693,0.024380912150457776,0.00817092798271079,0.4230769230769231
c12,D008,c_l1,26,0.02942983409232823,0.1612069940790579,-0.13177715998672968,0.8174407117975572,0.9615384615384616,0.03982771204310046,-0.010397877950772232,0.5
c12,D011,eta,22,0.11766640163892149,0.3947721151409466,-0.2771057135020251,0.7019384168081104,0.8636363636363636,0.056502493805395855,0.061163907833525634,0.3181818181818182
c12,D011,tau_transfer,22,2.96647893914475,6.747803669962928,-3.781324730818178,0.560378593652674,0.7727272727272727,1.4288521047071978,1.537626834437552,0.36363636363636365
c12,D011,ipr,22,0.052537093250900835,0.09719074335779485,-0.04465365010689401,0.459443446610008,0.8181818181818182,0.017676973862297697,0.03486011938860314,0.18181818181818182
c12,D011,purity,22,0.05503970055434386,0.08883319187954941,-0.03379349132520555,0.3804151422480324,0.6818181818181818,0.016755746837017704,0.03828395371732615,0.18181818181818182
c12,D011,c_l1,22,0.04189968736063926,0.10489499469322654,-0.06299530733258728,0.6005558941760938,0.6363636363636364,0.037908624667557754,0.0039910626930815055,0.5
c12,D007,eta,31,0.10633289177183808,0.37895665058664946,-0.2726237588148114,0.7194061864141246,0.8064516129032258,0.0436233188306045,0.06270957294123358,0.22580645161290322
c12,D007,tau_transfer,31,2.5831429347316863,8.379710606825599,-5.7965676720939125,0.6917384076930275,0.8387096774193549,1.6146231428200997,0.9685197919115867,0.41935483870967744
c12,D007,ipr,31,0.05235562268812492,0.1271913283651012,-0.07483570567697627,0.588371130633696,0.6774193548387096,0.023083276228680717,0.029272346459444206,0.3225806451612903
c12,D007,purity,31,0.05298076873599761,0.12300669708483349,-0.07002592834883588,0.569285494273059,0.7096774193548387,0.023508459718711558,0.02947230901728605,0.2903225806451613
c12,D007,c_l1,31,0.03516471055120055,0.13473199969886118,-0.09956728914766064,0.7390025336980299,0.8064516129032258,0.03918355847060413,-0.00401884791940358,0.6451612903225806
c12,D004,eta,40,0.0665285355236237,0.3753906684981789,-0.3088621329745552,0.8227752016591579,0.9,0.05709598715472809,0.009432548368895607,0.525
c12,D004,tau_transfer,40,1.8781022204234645,7.747933179808851,-5.869830959385387,0.757599584710177,0.85,1.5010911502600097,0.3770110701634548,0.425
c12,D004,ipr,40,0.05558022247435194,0.13041536116251776,-0.07483513868816583,0.5738215040090993,0.65,0.01966130130986208,0.03591892116448986,0.275
c12,D004,purity,40,0.05693332062919946,0.12439857069881954,-0.06746525006962009,0.5423313924800608,0.575,0.019542271659673642,0.03739104896952582,0.3
c12,D004,c_l1,40,0.03507748316800391,0.16781488577835604,-0.13273740261035213,0.7909751390330593,0.875,0.029769037906817387,0.005308445261186522,0.4
c12,D006,eta,38,0.12247154337445763,0.3361894931769333,-0.21371794980247566,0.6357068086300899,0.7368421052631579,0.05831000325764037,0.06416154011681727,0.2631578947368421
c12,D006,tau_transfer,38,2.9525306238763105,7.824854769993141,-4.87232414611683,0.6226727893789524,0.7631578947368421,1.7935350504078116,1.158995573468499,0.42105263157894735
c12,D006,ipr,38,0.05063109720639813,0.09837186272424239,-0.047740765517844265,0.48530915442428857,0.6578947368421053,0.02474563942756949,0.025885457778828638,0.3684210526315789
c12,D006,purity,38,0.053327876347113154,0.09926019975173134,-0.04593232340461818,0.4627466347992818,0.6578947368421053,0.026799035097794733,0.02652884124931842,0.39473684210526316
c12,D006,c_l1,38,0.04869484377410095,0.18096451379147213,-0.13226967001737117,0.7309149581104466,0.9210526315789473,0.03395828458256065,0.0147365591915403,0.5
c12,D000,eta,59,0.09866379378004701,0.304765828756432,-0.20610203497638496,0.6762635949619573,0.7966101694915254,0.04944659336891238,0.049217200411134636,0.3389830508474576
c12,D000,tau_transfer,59,2.3675637809742955,7.308445840664326,-4.94088205969003,0.6760509918810471,0.847457627118644,1.3743670332379878,0.9931967477363077,0.3389830508474576
c12,D000,ipr,59,0.03913237315292089,0.12138125959350023,-0.08224888644057934,0.6776077848922211,0.7796610169491526,0.017834915729073305,0.021297457423847584,0.3559322033898305
c12,D000,purity,59,0.0402462685723746,0.11278695229972517,-0.07254068372735056,0.6431655634649801,0.6779661016949152,0.019107814982235103,0.021138453590139498,0.3389830508474576
