method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,73,0.5668591616582367,20.393193372296896,0.19351082264379676,0.20253760382656755,0.4245497567229077,0.4156221,21.96439,0.25565356,0.2694603,0.43903217,34829,0.1512370763253662,1.571196428728495,0.06214273751779381,0.06692268684382735,0.014482410473366125
model,74,0.2551518089545756,26.19407069538324,0.25434875036997595,0.26289280170143386,0.2329193042681961,0.50898254,22.379879,0.32197392,0.33196816,0.23478936,16447,0.2538307302223653,3.8141916975805046,0.06762516949849329,0.06907535678207138,0.0018700523211212239
model,71,0.9783400321879426,4.714354101842112,0.3595558829568085,0.370290248522451,0.34752476817949507,0.98331374,4.9777174,0.3490426,0.35605392,0.28701532,77346,0.004973707111831538,0.2633632977550562,0.010513288523977704,0.014236329922368618,0.060509449308950636
model,78,0.6636265249526061,23.199825064269994,0.7306291281131168,0.7316091305286003,0.11694809719955739,0.35552377,27.470287,0.7829671,0.7839013,0.0946497,18874,0.3081027598654784,4.2704622587280525,0.0523379624935727,0.052292143675653824,0.02229839488899525
model,79,0.8979953505150029,15.201014238437445,0.43404998738865214,0.4384789532956025,0.25919593564682586,0.9606615,14.723011,0.3858661,0.39102417,0.2935697,75139,0.06266612037504227,0.4780032215917416,0.0481838818321641,0.0474547809895417,0.03437377818412202
model,80,0.4035607235815218,22.708182782160957,0.28737635870103745,0.298320134910955,0.3629451968591037,0.57568127,21.917786,0.2784825,0.28892547,0.32041407,131370,0.17212054558733197,0.7903971376297072,0.00889386196260361,0.009394665989293616,0.04253113054440644
model,75,0.4574428533695802,21.99993757111588,0.23972670022960452,0.2409019368877239,0.13020699259055032,0.18796815,24.718775,0.33605602,0.33791295,0.14140126,41036,0.26947470358835307,2.7188372244163475,0.09632932360653135,0.09701101005174448,0.011194268500681975
model,82,0.5961416515365736,24.366786403627206,0.36991759140066727,0.37439009732450196,0.23078294431752733,0.4137369,24.832193,0.46234486,0.4684225,0.24307573,109934,0.18240474190865918,0.46540697100658335,0.09242726366944687,0.09403240495477966,0.012292784098915543
model,81,0.9565244728807246,6.223287405742703,0.37697319717806627,0.3821574301811017,0.2661588526723394,0.9504329,7.114172,0.31666517,0.3219526,0.24728559,115990,0.006091576266649912,0.8908845760688209,0.06030802460116197,0.06020481897313967,0.01887326309657189
model,84,0.3935462251191226,22.458983690074906,0.2311211779801877,0.25899930313599595,0.3851989578480755,0.4281423,23.391497,0.26030293,0.29315227,0.39063296,70309,0.0345960840697202,0.9325129682502897,0.029181753090140067,0.03415296956526748,0.0054339993720020074
