target_id,eta,tau_transfer,ipr,purity,c_l1,dataset_index
201,0.031251553,24.826643,0.29425612,0.3056174,0.28451583,79555
202,0.28820732,19.60513,0.2335871,0.23656078,0.22775514,117461
203,0.84077525,14.30075,0.21515587,0.22222431,0.30185437,73404
204,0.38218084,19.519865,0.4165194,0.46556637,0.37398532,93290
205,0.4991929,19.237764,0.42686492,0.42910475,0.15040667,60388
206,0.5038399,15.150395,0.34107965,0.3478903,0.26401186,138453
207,0.6337114,18.721075,0.5062929,0.5074835,0.11481538,137789
208,0.5218997,24.327305,0.22080491,0.23131151,0.3985246,73576
209,0.96925884,9.788651,0.29172635,0.30962852,0.3831538,65699
210,0.09494855,25.680159,0.2657775,0.2686766,0.18744282,131957
211,0.09700054,29.897211,0.5346303,0.5360146,0.13757811,56838
212,0.922102,12.47795,0.25534257,0.26792622,0.3647414,74392
213,0.9525448,9.497598,0.669496,0.6802452,0.2390646,27582
214,0.022575999,26.11699,0.28480977,0.29009497,0.22421275,39616
215,0.98219115,6.200924,0.6923044,0.7000263,0.18214685,118498
216,0.89664364,15.457788,0.41100755,0.41481394,0.19530971,3750
217,0.31246853,18.686245,0.22260462,0.23056856,0.30568507,124660
218,0.6954102,23.035995,0.61984855,0.6221708,0.18806607,58244
219,0.66224164,24.630816,0.29796034,0.30647868,0.33943483,22477
220,0.33128765,20.73046,0.29129928,0.33917317,0.49903515,22625
221,0.22036391,28.427147,0.23846011,0.2458106,0.26518774,35316
222,0.47545728,19.119091,0.3490778,0.35220948,0.17081214,51030
223,0.9441092,7.9127345,0.2731104,0.30915132,0.4763951,1072
224,0.83115256,17.963335,0.24856496,0.2796273,0.6282146,43252
225,0.7710879,11.999344,0.26896265,0.28558514,0.39653227,122611
226,0.08373386,21.750286,0.23191199,0.23914018,0.2567246,100627
227,0.39124614,25.54052,0.59793234,0.60088986,0.16352816,2721
228,0.07997736,25.063278,0.37589064,0.37932542,0.18083556,24569
229,0.07289079,28.077456,0.38031256,0.3924869,0.29339442,41521
230,0.13931303,23.992552,0.290519,0.299823,0.2844439,62517
231,0.6362742,20.406773,0.261379,0.2719739,0.33112547,17066
232,0.29394087,21.852108,0.2483825,0.25417295,0.24930929,91418
233,0.16406295,30.972347,0.4185848,0.42051584,0.16478589,32688
234,0.4917091,27.438684,0.42513898,0.42835578,0.24036537,91789
235,0.91147655,15.363368,0.19837642,0.24767542,0.8043472,13028
236,0.044724163,23.031775,0.21503708,0.22414741,0.28810146,70948
237,0.5405529,22.52343,0.34466538,0.38059124,0.35471535,28223
238,0.14918949,25.68636,0.2929502,0.30875295,0.43659955,78181
239,0.44862574,26.42577,0.6325838,0.6380062,0.24677007,105157
240,0.079751275,24.599041,0.22688648,0.22869721,0.17098586,108248
